Camera,Lat,Long,Date Deployed,SD1,SD2,Comments,Pulled,yes,comments2,
ACORN1,38.505117,-106.010282,4/3/22,2,1,,pulled,x,,
ACORN2,38.502024,-105.978628,,42,43,,pulled,x,"set to low 7.20, batteries dead 7.19",
ACORN4,38.493777,-106.027532,,39,24,,pulled,x,dead batteries on arrival 7.18,
ACORN5,38.504976,-106.005745,4/30/22,41,15,,pulled,x,sensitivity low 7.12,
ACORN6,38.501796,-106.001166,4/30/22,40,16,,pulled,x,,
ACORN8,38.505001,-105.987234,4/11/22,6,30,,pulled,x,,
BUSH01,38.505104,-106.018886,4/3/22,9,18,ON TRAIL,PULLED,x,no 1st pull,
BUSH02,38.494602,-106.01473,4/2/22,10,3,,pulled,x,,
BUSH03,38.493867,-106.02358,4/3/22,11,,"SD, batteries and battery tray stolen",,,,
BUSH04,38.501633,-106.018506,4/3/22,12,40,,pulled,x,,
BUSH05,38.505583,-106.14611,4/3/22,13,14,,PULLED,x,no 2nd pull,check
BUSH06,38.498465,-106.018515,4/3/22,14,5,,PULLED,X,,
BUSH07,38.497588,-106.014388,4/2/22,15,microcenter sd no number,POINT DOWN,PULLED,X,,
BUSH08,38.501488,-106.022418,4/3/22,16,43,ON TRAIL,PULLED,X,memory full on first check change settings?,
BUSH09,38.498285,-106.023521,4/2/22,17,32,,PULLED,X,,
BUSH10,38.501597,-106.01344,4/2/22,18,7,ON TRAIL,PULLED,X,,
BUSH11,38.494079,-106.019144,4/2/22,19,8,,PULLED,X,check settings,
BUSH12,38.497542,-106.004564,4/17/22,20,10,,PULLED,X,,
BUSH13,38.500949,-105.98274,4/11/22,21,41,,PULLED,X,,
BUSH14,38.505141,-105.982828,4/11/22,22,29,,PULLED,X,,
BUSH15,38.501651,-105.98749,4/11/22,23,26,,PULLED,X,,
BUSH16,38.49726,-105.991797,4/10/22,24,44,on trail,PULLED,X,,
BUSH17,38.494401,-105.99166,4/10/22,25,45,on trail,PULLED,X,,
BUSH18,38.49393,-105.987506,4/10/22,26,12,,PULLED,X,,
BUSH19,38.2954,-105.5913,4/10/22,27,34,in wash,PULLED,X,changed settings was taking 1 image on normal 3MP to 5 image on high at 12m\MP,
BUSH20,38.494561,-105.982816,4/11/22,28,,,PULLED,X,MOVED SLIGHTLY 7.20,
BUSH21,38.494845,-105.996348,4/17/22,29,31,,PULLED,X,,
BUSH22,38.498094,-105.995719,4/17/22,30,13,on trail,PULLED,X,,
BUSH23,38.495054,-106.001303,4/17/22,31,20,,PULLED,X,moved slightly,
BUSH24,38.497618,-106.000573,4/17/22,32,19,,PULLED,x,,
BUSH25,38.494432,-105.979165,5/1/22,33,,,pulled,x,2ND PULL CORRUPTED,
BUSH26,38.501378,-106.004943,4/30/22,34,2,,pulled,x,,
BUSH27,38.504221,-105.978452,5/2/22,35,27,on trail,pulled,x,BUSH31 says BUSH27 on stamp but is wrong,
BUSH28,38.501572,-106.00992,4/30/22,36,4,,pulled,x,SD card corrupted 1st pull,
BUSH29,38.49877,-105.97763,5/1/22,37,,,pulled,x,,
BUSH30,38.49807,-106.028403,,38,17,,pulled,x,,
BUSH31,38.49835,-105.9831,,43,25,,pulled,x,BUSH31 says BUSH27 on stamp but is wrong,
Camera,Lat,Long,Date Deployed,SD1,SD2,Comments,,,,
,,,,43,,,,,,
,,,,44,,,,,,
,,,,45,,,,,,